No_Transaksi,Tanggal,Waktu,Customer_ID,Items,Total_Item,Total_Harga,Metode_Pembayaran
TRX-20240326-001,2024-03-26,20:30,CUST-1133,"telur, nugget, saos, sosis",4,84000,Kredit
TRX-20240322-002,2024-03-22,10:25,CUST-1158,"garam, ayam",2,40000,Debit
TRX-20240510-002,2024-05-10,16:31,CUST-1182,"susu, ikan, yogurt, pisang",4,68000,Tunai
TRX-20240129-001,2024-01-29,14:37,CUST-1079,"kecap, kentang",2,22000,Tunai
TRX-20240616-002,2024-06-16,20:49,CUST-1149,"bawang, kentang, garam, daging sapi, wortel",5,93000,Debit
TRX-20240514-002,2024-05-14,18:46,CUST-1159,"krim, es krim",2,40000,Tunai
TRX-20240526-001,2024-05-26,19:07,CUST-1049,"kecap, tahu, tempe, minyak goreng, tomat, bawang, telur, wortel",8,92000,QRIS
TRX-20240415-003,2024-04-15,16:49,CUST-1157,"sampo, yogurt",2,39000,Debit
TRX-20240523-005,2024-05-23,13:42,CUST-1123,"minyak goreng, tomat, bayam, bawang, telur",5,65000,Kredit
TRX-20240328-001,2024-03-28,16:22,CUST-1174,"kentang, saos",2,20000,Tunai
TRX-20240304-003,2024-03-04,12:35,CUST-1077,"kecap, air mineral, minyak goreng, bawang, ayam, sampo",6,105000,QRIS
TRX-20240505-006,2024-05-05,13:30,CUST-1090,"biskuit, permen, kopi, keju, cokelat",5,93000,Debit
TRX-20240519-003,2024-05-19,14:57,CUST-1102,"permen, roti gandum",2,20000,Tunai
TRX-20240121-004,2024-01-21,13:59,CUST-1114,"air mineral, jus jeruk",2,17000,QRIS
TRX-20240310-002,2024-03-10,16:44,CUST-1070,"bawang, kentang, sosis, cokelat, nugget, saos, daging sapi, wortel",8,163000,Tunai
TRX-20240515-003,2024-05-15,11:40,CUST-1060,"kecap, tahu, telur, mentega, minyak goreng, tomat, bawang, es krim, tempe",9,127000,QRIS
TRX-20240102-003,2024-01-02,16:59,CUST-1041,"biskuit, kentang, kopi, nugget, cokelat",5,98000,Tunai
TRX-20240314-003,2024-03-14,13:18,CUST-1166,"apel, susu, roti tawar, anggur, jeruk, telur",6,114000,QRIS
TRX-20240110-002,2024-01-10,10:26,CUST-1046,"apel, tempe",2,21000,Tunai
TRX-20240315-001,2024-03-15,08:00,CUST-1077,"susu, roti tawar, bayam, permen, telur",5,62000,Kredit
TRX-20240519-004,2024-05-19,16:31,CUST-1035,"biskuit, jus jeruk",2,22000,QRIS
TRX-20240325-002,2024-03-25,10:46,CUST-1118,"roti tawar, bawang, kentang, daging sapi, wortel",5,100000,QRIS
TRX-20240316-002,2024-03-16,17:43,CUST-1194,"susu, tomat, sosis, keju, nugget, saos, pisang, roti gandum",8,135000,Tunai
TRX-20240412-003,2024-04-12,18:06,CUST-1048,"telur, cokelat",2,39000,Tunai
TRX-20240408-004,2024-04-08,11:28,CUST-1193,"minyak goreng, tomat, bawang, garam, deterjen, telur",6,83000,Debit
TRX-20240307-002,2024-03-07,18:23,CUST-1178,"sabun, sampo, bayam, tisu",4,51000,Tunai
TRX-20240413-002,2024-04-13,18:32,CUST-1181,"permen, minyak goreng",2,27000,Tunai
TRX-20240226-003,2024-02-26,11:08,CUST-1123,"bawang, kentang, sosis, sabun, nugget, saos, daging sapi, wortel",8,160000,Debit
TRX-20240430-002,2024-04-30,20:34,CUST-1171,"kecap, es krim",2,32000,QRIS
TRX-20240121-005,2024-01-21,16:28,CUST-1136,"keju, gula",2,42000,Tunai
TRX-20240520-004,2024-05-20,16:12,CUST-1147,"susu, bawang, jeruk, kopi, gula",5,83000,Tunai
TRX-20240222-001,2024-02-22,19:37,CUST-1126,"keripik, susu, soda, bayam, yogurt, cokelat, pisang",7,75000,Tunai
TRX-20240416-003,2024-04-16,15:36,CUST-1015,"croissant, tisu, deterjen, sabun, sampo",5,82000,Tunai
TRX-20240101-001,2024-01-01,19:13,CUST-1149,"kecap, tahu, telur, minyak goreng, anggur, tomat, bawang, tempe",8,120000,Kredit
TRX-20240118-002,2024-01-18,15:02,CUST-1074,"jeruk, nugget, apel, anggur",4,90000,Kredit
TRX-20240614-003,2024-06-14,14:23,CUST-1098,"tahu, susu, biskuit, kopi, cokelat",5,83000,QRIS
TRX-20240618-005,2024-06-18,16:08,CUST-1168,"teh, anggur",2,43000,Tunai
TRX-20240202-002,2024-02-02,19:14,CUST-1001,"bayam, es krim",2,25000,QRIS
TRX-20240418-002,2024-04-18,16:24,CUST-1059,"minyak goreng, tomat, biskuit, bawang, telur",5,70000,Tunai
TRX-20240129-002,2024-01-29,08:51,CUST-1170,"jeruk, apel, cokelat, anggur",4,77000,Tunai
TRX-20240126-003,2024-01-26,17:02,CUST-1115,"daging sapi, bawang, kentang, cokelat, wortel",5,103000,QRIS
TRX-20240412-004,2024-04-12,15:14,CUST-1139,"keju, yogurt, susu, roti gandum",4,73000,Debit
TRX-20240315-002,2024-03-15,11:52,CUST-1188,"sosis, kacang, nugget, saos, cokelat",5,84000,QRIS
TRX-20240618-006,2024-06-18,16:14,CUST-1106,"roti tawar, minyak goreng, mentega, susu",4,72000,QRIS
TRX-20240522-001,2024-05-22,15:03,CUST-1089,"telur, jeruk",2,36000,QRIS
TRX-20240414-001,2024-04-14,10:19,CUST-1097,"keripik, susu, soda, yogurt, cokelat, pisang",6,70000,Tunai
TRX-20240206-003,2024-02-06,20:29,CUST-1015,"kecap, tahu, tempe, minyak goreng",4,47000,Tunai
TRX-20240222-002,2024-02-22,13:41,CUST-1021,"anggur, susu",2,51000,QRIS
TRX-20240218-003,2024-02-18,08:17,CUST-1097,"bagel, jus jeruk",2,25000,QRIS
TRX-20240530-001,2024-05-30,19:42,CUST-1144,"teh, roti tawar, biskuit, gula, kacang",5,53000,Tunai
TRX-20240218-004,2024-02-18,19:07,CUST-1192,"sabun, cokelat",2,27000,Debit
TRX-20240222-003,2024-02-22,14:58,CUST-1062,"tahu, apel, anggur, bayam, jeruk",5,74000,Debit
TRX-20240401-001,2024-04-01,12:16,CUST-1093,"mentega, susu, yogurt, deterjen, pisang",5,78000,Debit
TRX-20240322-003,2024-03-22,11:23,CUST-1081,"nugget, saos, tisu, sosis",4,69000,Tunai
TRX-20240307-003,2024-03-07,16:59,CUST-1150,"kecap, tahu, minyak goreng, jus jeruk, tempe, krim",6,79000,Tunai
TRX-20240407-002,2024-04-07,17:53,CUST-1063,"keripik, apel, tisu, sabun, sampo",5,69000,Kredit
TRX-20240613-004,2024-06-13,19:31,CUST-1118,"apel, minyak goreng, anggur, tomat, bawang, jeruk, yogurt, telur",8,136000,QRIS
TRX-20240505-007,2024-05-05,10:58,CUST-1139,"jeruk, roti gandum",2,27000,QRIS
TRX-20240120-002,2024-01-20,18:03,CUST-1196,"susu, kopi, gula, keju, bagel, roti gandum",6,121000,QRIS
TRX-20240103-001,2024-01-03,11:32,CUST-1117,"apel, nugget, saos, sosis",4,75000,Tunai
TRX-20240516-002,2024-05-16,16:26,CUST-1004,"kecap, minyak goreng, croissant, bawang, ayam, kentang, daging sapi, pisang, wortel",9,183000,QRIS
TRX-20240621-001,2024-06-21,14:51,CUST-1046,"keripik, soda, susu, roti tawar, telur, cokelat",6,84000,Tunai
TRX-20240514-003,2024-05-14,12:52,CUST-1091,"kecap, tahu, ikan, minyak goreng, tempe",5,77000,Kredit
TRX-20240427-002,2024-04-27,17:15,CUST-1179,"sabun, sampo, nugget, tisu",4,74000,Kredit
TRX-20240615-003,2024-06-15,20:02,CUST-1024,"kecap, tahu, minyak goreng, muffin, tempe",5,57000,Tunai
TRX-20240213-002,2024-02-13,09:31,CUST-1112,"minyak goreng, tomat, bawang, jeruk, telur",5,72000,Kredit
TRX-20240228-002,2024-02-28,11:57,CUST-1178,"biskuit, roti gandum",2,25000,Kredit
TRX-20240624-002,2024-06-24,12:57,CUST-1140,"roti tawar, telur, mentega, susu",4,74000,Tunai
TRX-20240223-002,2024-02-23,17:09,CUST-1193,"kacang, bagel",2,22000,Tunai
TRX-20240302-004,2024-03-02,17:53,CUST-1100,"tahu, tisu",2,16000,Tunai
TRX-20240625-005,2024-06-25,19:05,CUST-1129,"mentega, muffin",2,32000,Debit
TRX-20240120-003,2024-01-20,13:38,CUST-1197,"croissant, nugget, sosis, telur, saos",5,102000,Debit
TRX-20240425-001,2024-04-25,15:14,CUST-1092,"kecap, tahu, minyak goreng, teh, es krim, tempe",6,75000,Debit
TRX-20240407-003,2024-04-07,09:49,CUST-1159,"teh, biskuit, gula, susu",4,48000,Tunai
TRX-20240407-004,2024-04-07,19:50,CUST-1163,"kecap, tahu, telur, mentega, minyak goreng, susu, tomat, bawang, tempe",9,123000,Tunai
TRX-20240319-002,2024-03-19,15:23,CUST-1195,"susu, teh, kopi, gula",4,73000,Debit
TRX-20240522-002,2024-05-22,16:32,CUST-1105,"kecap, susu, minyak goreng, roti tawar, tomat, bawang, telur",7,100000,Debit
TRX-20240324-004,2024-03-24,14:00,CUST-1075,"jeruk, deterjen, apel, anggur",4,80000,Kredit
TRX-20240303-003,2024-03-03,17:33,CUST-1044,"biskuit, yogurt",2,24000,Tunai
TRX-20240506-001,2024-05-06,10:04,CUST-1043,"kecap, tahu, minyak goreng, kentang, tempe, bagel",6,70000,Tunai
TRX-20240304-004,2024-03-04,19:40,CUST-1127,"mentega, teh, biskuit, gula, yogurt",5,68000,Tunai
TRX-20240411-002,2024-04-11,13:53,CUST-1159,"susu, bawang, ayam, keju, roti gandum",5,100000,Debit
TRX-20240615-004,2024-06-15,17:08,CUST-1077,"kentang, daging sapi, bawang, wortel",4,88000,Tunai
TRX-20240411-003,2024-04-11,13:18,CUST-1189,"gula, cokelat",2,29000,Tunai
TRX-20240312-002,2024-03-12,20:25,CUST-1094,"teh, biskuit, es krim, gula, sosis, nugget, saos",7,112000,QRIS
TRX-20240107-001,2024-01-07,19:29,CUST-1182,"apel, anggur, jeruk, sabun, bagel",5,87000,QRIS
TRX-20240414-002,2024-04-14,18:31,CUST-1036,"teh, biskuit, gula, sosis, krim",5,74000,QRIS
TRX-20240406-002,2024-04-06,09:28,CUST-1154,"kecap, tahu, minyak goreng, anggur, tempe, roti gandum",6,97000,QRIS
TRX-20240402-001,2024-04-02,19:57,CUST-1138,"mentega, biskuit, kopi, cokelat",4,82000,QRIS
TRX-20240617-003,2024-06-17,18:22,CUST-1043,"mentega, susu, roti tawar, tomat, ayam",5,93000,Tunai
TRX-20240126-004,2024-01-26,12:14,CUST-1131,"ikan, bawang",2,36000,Tunai
TRX-20240622-003,2024-06-22,17:44,CUST-1129,"mentega, susu, roti tawar, permen, yogurt, pisang",6,77000,Debit
TRX-20240122-003,2024-01-22,09:53,CUST-1187,"kecap, air mineral, minyak goreng, tomat, bawang, ayam, jeruk, telur",8,124000,Debit
TRX-20240501-003,2024-05-01,09:28,CUST-1185,"kacang, bagel",2,22000,Tunai
TRX-20240130-001,2024-01-30,08:54,CUST-1088,"sabun, sampo, tisu",3,46000,Tunai
TRX-20240214-002,2024-02-14,16:10,CUST-1085,"susu, tempe, yogurt, pisang",4,44000,Debit
TRX-20240217-001,2024-02-17,18:42,CUST-1111,"kentang, daging sapi, bawang, wortel",4,88000,Debit
TRX-20240409-001,2024-04-09,08:45,CUST-1055,"jeruk, apel, gula, anggur",4,76000,Tunai
TRX-20240517-004,2024-05-17,10:23,CUST-1084,"kecap, susu, minyak goreng, roti tawar, bawang, ayam, jeruk, telur",8,139000,Tunai
TRX-20240409-002,2024-04-09,17:25,CUST-1151,"minyak goreng, susu, teh, tomat, bawang, keju, telur, saos, roti gandum",9,137000,QRIS
TRX-20240629-002,2024-06-29,20:19,CUST-1158,"telur, sabun, sampo, tisu",4,70000,Tunai
TRX-20240319-003,2024-03-19,09:11,CUST-1096,"kecap, wortel",2,19000,Tunai
TRX-20240408-005,2024-04-08,14:11,CUST-1125,"mangga, bawang, kentang, daging sapi, wortel",5,106000,Tunai
TRX-20240314-004,2024-03-14,10:11,CUST-1081,"roti tawar, daging sapi",2,77000,Debit
TRX-20240219-001,2024-02-19,14:35,CUST-1130,"apel, es krim",2,35000,Debit
TRX-20240423-003,2024-04-23,15:10,CUST-1022,"jeruk, apel, anggur, permen",4,67000,Tunai
TRX-20240227-003,2024-02-27,16:18,CUST-1044,"mangga, pisang",2,26000,Tunai
TRX-20240130-002,2024-01-30,12:49,CUST-1140,"anggur, roti gandum",2,50000,QRIS
TRX-20240422-002,2024-04-22,16:13,CUST-1109,"susu, kacang, tisu, keju, sabun, sampo, roti gandum",7,114000,QRIS
TRX-20240109-002,2024-01-09,15:16,CUST-1090,"keju, bawang",2,34000,QRIS
TRX-20240301-003,2024-03-01,11:51,CUST-1189,"minyak goreng, tomat, bawang, kopi, telur, saos",6,105000,Tunai
TRX-20240222-004,2024-02-22,11:51,CUST-1016,"keripik, kecap, soda, anggur, cokelat",5,79000,Tunai
TRX-20240629-003,2024-06-29,12:18,CUST-1147,"keju, yogurt, susu, roti gandum",4,73000,Kredit
TRX-20240415-004,2024-04-15,08:17,CUST-1168,"susu, gula, kopi, keju, krim, roti gandum",6,128000,QRIS
TRX-20240304-005,2024-03-04,20:53,CUST-1174,"susu, minyak goreng, kopi, gula, wortel",5,94000,Tunai
TRX-20240120-004,2024-01-20,18:50,CUST-1197,"keripik, ikan, soda, bawang, kentang, cokelat, sabun, daging sapi, wortel",9,162000,Debit
TRX-20240504-002,2024-05-04,13:37,CUST-1001,"bayam, deterjen",2,23000,Debit
TRX-20240627-002,2024-06-27,13:54,CUST-1017,"air mineral, tomat",2,13000,QRIS
TRX-20240506-002,2024-05-06,12:20,CUST-1073,"gula, nugget, saos, sosis",4,74000,QRIS
TRX-20240328-002,2024-03-28,18:48,CUST-1013,"apel, croissant, anggur, jeruk, tisu, keju, sabun, sampo",8,154000,Kredit
TRX-20240210-001,2024-02-10,15:29,CUST-1001,"sabun, jus jeruk",2,24000,Kredit
TRX-20240615-005,2024-06-15,12:10,CUST-1071,"kecap, ikan, minyak goreng, tomat, bawang, ayam, telur",7,137000,QRIS
TRX-20240615-006,2024-06-15,10:03,CUST-1102,"tomat, bawang, kentang, daging sapi, wortel",5,96000,QRIS
TRX-20240629-004,2024-06-29,09:00,CUST-1055,"susu, jeruk, kopi, gula",4,77000,QRIS
TRX-20240103-002,2024-01-03,08:44,CUST-1088,"sabun, yogurt",2,26000,Debit
TRX-20240228-003,2024-02-28,14:05,CUST-1188,"ikan, telur",2,54000,QRIS
TRX-20240205-002,2024-02-05,14:49,CUST-1193,"jeruk, bagel",2,25000,Debit
TRX-20240605-002,2024-06-05,18:10,CUST-1113,"teh, biskuit, gula, wortel",4,39000,Debit
TRX-20240423-004,2024-04-23,11:05,CUST-1026,"telur, susu, roti tawar, tomat, sosis, nugget, saos, daging sapi",8,185000,Tunai
TRX-20240205-003,2024-02-05,11:17,CUST-1166,"keripik, soda, croissant, sosis, sabun, nugget, saos, cokelat",8,122000,QRIS
TRX-20240617-004,2024-06-17,12:13,CUST-1133,"teh, biskuit, permen, gula, nugget",5,65000,Tunai
TRX-20240302-005,2024-03-02,15:24,CUST-1029,"jeruk, sabun, sampo, tisu",4,58000,QRIS
TRX-20240104-002,2024-01-04,13:59,CUST-1082,"ikan, susu, anggur, biskuit, kopi, keju, cokelat, roti gandum",8,184000,QRIS
TRX-20240430-003,2024-04-30,20:04,CUST-1005,"air mineral, mentega, susu, roti tawar, roti gandum",5,70000,Kredit
TRX-20240411-004,2024-04-11,16:18,CUST-1161,"tomat, sabun",2,20000,Debit
TRX-20240612-005,2024-06-12,16:34,CUST-1158,"kecap, susu, minyak goreng, roti tawar, bawang, ayam, telur, pisang",8,135000,Kredit
TRX-20240209-002,2024-02-09,16:20,CUST-1101,"jeruk, kacang, apel, anggur",4,71000,QRIS
TRX-20240302-006,2024-03-02,08:15,CUST-1023,"bayam, saos",2,15000,Debit
TRX-20240320-003,2024-03-20,18:47,CUST-1169,"roti tawar, sampo",2,37000,Tunai
TRX-20240103-003,2024-01-03,10:31,CUST-1089,"ikan, apel, anggur, jeruk, kopi",5,127000,Tunai
TRX-20240309-001,2024-03-09,19:56,CUST-1031,"tomat, ayam",2,43000,Tunai
TRX-20240117-002,2024-01-17,12:45,CUST-1148,"susu, ikan, yogurt, pisang",4,68000,Tunai
TRX-20240525-004,2024-05-25,10:23,CUST-1041,"roti tawar, telur, soda, susu",4,61000,QRIS
TRX-20240101-002,2024-01-01,08:54,CUST-1004,"tahu, susu, yogurt, krim, pisang",5,65000,Tunai
TRX-20240110-003,2024-01-10,16:51,CUST-1183,"telur, soda",2,33000,Tunai
TRX-20240322-004,2024-03-22,12:52,CUST-1020,"roti tawar, teh, telur, susu",4,60000,Tunai
TRX-20240512-001,2024-05-12,08:25,CUST-1018,"kacang, telur",2,33000,Tunai
TRX-20240426-005,2024-04-26,08:23,CUST-1052,"apel, anggur, jeruk, tisu, saos",5,81000,Tunai
TRX-20240404-003,2024-04-04,17:31,CUST-1198,"roti tawar, krim",2,32000,Kredit
TRX-20240107-002,2024-01-07,11:34,CUST-1089,"bawang, ayam, kentang, daging sapi, wortel",5,123000,Tunai
TRX-20240617-005,2024-06-17,14:54,CUST-1189,"air mineral, jeruk",2,17000,Kredit
TRX-20240417-001,2024-04-17,15:03,CUST-1037,"soda, roti gandum",2,24000,QRIS
TRX-20240513-002,2024-05-13,14:44,CUST-1096,"bawang, kentang, garam, daging sapi, wortel",5,93000,Tunai
TRX-20240204-001,2024-02-04,18:52,CUST-1101,"mentega, susu, roti tawar, yogurt, sosis, nugget, saos",7,124000,Tunai
TRX-20240307-004,2024-03-07,13:59,CUST-1101,"telur, bawang",2,30000,Tunai
TRX-20240120-005,2024-01-20,11:08,CUST-1200,"mentega, krim",2,42000,Tunai
TRX-20240429-004,2024-04-29,13:26,CUST-1031,"jeruk, apel, anggur, bawang",4,68000,Tunai
TRX-20240308-005,2024-03-08,09:05,CUST-1041,"sabun, sampo",2,37000,Debit
TRX-20240225-002,2024-02-25,13:09,CUST-1024,"tempe, pisang",2,14000,Tunai
TRX-20240317-002,2024-03-17,12:52,CUST-1045,"kecap, tahu, minyak goreng, susu, mangga, tisu, keju, tempe, roti gandum",9,133000,Debit
TRX-20240125-001,2024-01-25,15:06,CUST-1036,"mentega, susu, roti tawar, yogurt, keju, roti gandum",6,107000,Tunai
TRX-20240412-005,2024-04-12,13:43,CUST-1162,"keripik, garam",2,13000,Kredit
TRX-20240120-006,2024-01-20,08:04,CUST-1051,"yogurt, susu",2,30000,Kredit
TRX-20240325-003,2024-03-25,09:02,CUST-1119,"tempe, biskuit, kopi, sosis, deterjen, nugget, saos, cokelat",8,144000,Debit
TRX-20240407-005,2024-04-07,18:27,CUST-1045,"biskuit, kopi, cokelat",3,60000,Tunai
TRX-20240208-001,2024-02-08,08:39,CUST-1159,"apel, tisu, sabun, sampo, wortel",5,68000,QRIS
TRX-20240502-002,2024-05-02,08:05,CUST-1072,"kecap, tahu, minyak goreng, nugget, tempe",5,75000,QRIS
TRX-20240514-004,2024-05-14,11:40,CUST-1140,"sampo, daging sapi",2,90000,Debit
TRX-20240504-003,2024-05-04,13:58,CUST-1145,"kecap, tahu, minyak goreng, croissant, teh, tempe",6,73000,Tunai
TRX-20240226-004,2024-02-26,08:57,CUST-1200,"jeruk, apel, daging sapi, anggur",4,127000,QRIS
TRX-20240229-003,2024-02-29,10:06,CUST-1064,"anggur, tisu",2,44000,Tunai
TRX-20240226-005,2024-02-26,17:54,CUST-1100,"keju, teh, susu, roti gandum",4,67000,Tunai
TRX-20240322-005,2024-03-22,20:47,CUST-1179,"nugget, saos, sosis, sampo",4,85000,QRIS
TRX-20240525-005,2024-05-25,17:09,CUST-1145,"anggur, kacang",2,44000,Tunai
TRX-20240110-004,2024-01-10,09:03,CUST-1060,"roti tawar, mentega, susu, ayam",4,85000,Kredit
TRX-20240221-002,2024-02-21,20:08,CUST-1088,"croissant, muffin",2,28000,Tunai
TRX-20240629-005,2024-06-29,10:49,CUST-1029,"ikan, bagel",2,43000,QRIS
TRX-20240618-007,2024-06-18,14:37,CUST-1026,"minyak goreng, tomat, bawang, kopi, telur",5,95000,QRIS
TRX-20240421-001,2024-04-21,20:40,CUST-1125,"susu, soda, kopi, gula, sosis",5,96000,Debit
TRX-20240214-003,2024-02-14,14:19,CUST-1188,"teh, deterjen",2,26000,Tunai
TRX-20240628-002,2024-06-28,17:25,CUST-1198,"teh, kecap",2,20000,Tunai
TRX-20240605-003,2024-06-05,11:40,CUST-1145,"susu, gula, kopi, yogurt, tisu, bagel, pisang",7,109000,Tunai
TRX-20240322-006,2024-03-22,10:40,CUST-1023,"roti tawar, bawang",2,18000,Tunai
TRX-20240304-006,2024-03-04,19:04,CUST-1090,"roti tawar, telur, susu, muffin",4,62000,Tunai
TRX-20240417-002,2024-04-17,10:56,CUST-1106,"kecap, tahu, minyak goreng, anggur, tempe",5,82000,Tunai
TRX-20240502-003,2024-05-02,20:55,CUST-1148,"kopi, bawang",2,41000,Tunai
TRX-20240109-003,2024-01-09,12:01,CUST-1082,"roti tawar, telur, susu, ayam",4,87000,Tunai
TRX-20240406-003,2024-04-06,10:46,CUST-1020,"biskuit, kopi, cokelat, ayam",4,95000,Debit
TRX-20240606-001,2024-06-06,15:45,CUST-1008,"kecap, sabun, sampo, tisu",4,58000,QRIS
TRX-20240210-002,2024-02-10,08:06,CUST-1085,"teh, biskuit, mangga, gula, sabun",5,62000,QRIS
TRX-20240518-002,2024-05-18,12:42,CUST-1073,"roti tawar, telur, tempe, susu",4,58000,Debit
TRX-20240505-008,2024-05-05,10:03,CUST-1093,"kecap, mentega, susu, minyak goreng, jus jeruk, roti tawar, bawang, ayam, telur",9,161000,Tunai
TRX-20240213-003,2024-02-13,18:18,CUST-1021,"tempe, susu, roti tawar, kentang, telur",5,68000,Debit
TRX-20240618-008,2024-06-18,12:05,CUST-1165,"ikan, tahu, susu, kopi, gula",5,102000,Tunai
TRX-20240112-003,2024-01-12,12:28,CUST-1120,"susu, gula, muffin, keju, roti gandum",5,83000,Tunai
TRX-20240627-003,2024-06-27,18:06,CUST-1022,"garam, soda",2,14000,Debit
TRX-20240409-003,2024-04-09,16:26,CUST-1138,"gula, cokelat",2,29000,Debit
TRX-20240121-006,2024-01-21,14:57,CUST-1183,"keripik, soda, sosis, keju, nugget, saos, cokelat",7,120000,Kredit
TRX-20240424-002,2024-04-24,10:10,CUST-1055,"tomat, roti gandum",2,23000,Tunai
TRX-20240623-001,2024-06-23,14:12,CUST-1161,"kecap, bagel, minyak goreng, bawang, ayam, sosis, deterjen, nugget, saos",9,166000,Tunai
TRX-20240522-003,2024-05-22,14:35,CUST-1084,"roti tawar, sabun",2,24000,Debit
TRX-20240513-003,2024-05-13,20:26,CUST-1029,"susu, kopi, mentega, gula",4,87000,Debit
TRX-20240126-005,2024-01-26,20:18,CUST-1138,"keripik, tahu",2,15000,QRIS
TRX-20240526-002,2024-05-26,17:30,CUST-1010,"kecap, tahu, minyak goreng, susu, kopi, gula, tempe, roti gandum",8,127000,QRIS
TRX-20240325-004,2024-03-25,19:15,CUST-1013,"croissant, ikan",2,48000,Tunai
TRX-20240318-003,2024-03-18,12:17,CUST-1126,"yogurt, soda",2,23000,Tunai
TRX-20240423-005,2024-04-23,20:52,CUST-1083,"kecap, tahu, minyak goreng, jus jeruk, tempe",5,59000,Debit
TRX-20240414-003,2024-04-14,19:31,CUST-1195,"minyak goreng, tomat, bawang, telur, pisang",5,68000,QRIS
TRX-20240117-003,2024-01-17,12:45,CUST-1130,"jeruk, teh, apel, anggur",4,70000,Tunai
TRX-20240221-003,2024-02-21,08:15,CUST-1009,"jus jeruk, biskuit, kopi, sampo, cokelat",5,97000,Tunai
TRX-20240428-004,2024-04-28,16:25,CUST-1163,"ikan, cokelat",2,45000,Debit
TRX-20240424-003,2024-04-24,10:55,CUST-1122,"keripik, minyak goreng, tomat, bawang, kopi, telur",6,103000,QRIS
TRX-20240625-006,2024-06-25,09:18,CUST-1008,"susu, soda, kopi, gula",4,74000,Debit
TRX-20240622-004,2024-06-22,11:17,CUST-1167,"roti tawar, kentang, mentega, susu",4,60000,Kredit
TRX-20240614-004,2024-06-14,10:38,CUST-1003,"nugget, saos, sosis, sampo",4,85000,Tunai
TRX-20240406-004,2024-04-06,13:29,CUST-1065,"kecap, mentega, minyak goreng, bawang, ayam, garam",6,102000,Tunai
TRX-20240618-009,2024-06-18,13:35,CUST-1166,"kecap, mentega, minyak goreng, es krim, bawang, ayam",6,117000,Debit
TRX-20240327-002,2024-03-27,12:40,CUST-1084,"nugget, sampo",2,53000,Kredit
TRX-20240615-007,2024-06-15,12:12,CUST-1039,"teh, biskuit, gula, kecap",4,44000,Debit
TRX-20240322-007,2024-03-22,18:08,CUST-1185,"kecap, susu, minyak goreng, bawang, ayam, yogurt, tempe, pisang, wortel",9,126000,Tunai
TRX-20240110-005,2024-01-10,17:45,CUST-1147,"sampo, deterjen",2,43000,Tunai
TRX-20240516-003,2024-05-16,18:50,CUST-1122,"kacang, pisang",2,17000,QRIS
TRX-20240617-006,2024-06-17,16:11,CUST-1076,"susu, mangga, bawang, kentang, kopi, gula, deterjen, daging sapi, wortel",9,189000,QRIS
TRX-20240216-002,2024-02-16,18:57,CUST-1086,"daging sapi, soda",2,74000,QRIS
TRX-20240319-004,2024-03-19,14:50,CUST-1085,"bayam, sosis, keju, nugget, saos",5,93000,Debit
TRX-20240611-002,2024-06-11,17:37,CUST-1159,"teh, biskuit, es krim, kopi, gula, cokelat",6,102000,Tunai
TRX-20240317-003,2024-03-17,14:03,CUST-1039,"minyak goreng, teh, tomat, biskuit, bayam, bawang, gula, telur",8,97000,Tunai
TRX-20240216-003,2024-02-16,20:05,CUST-1125,"susu, minyak goreng, kopi, gula, muffin",5,97000,Tunai
TRX-20240311-001,2024-03-11,11:48,CUST-1199,"apel, susu, anggur, jeruk, gula, kopi, yogurt",7,141000,Debit
TRX-20240611-003,2024-06-11,14:25,CUST-1110,"roti tawar, roti gandum",2,27000,Debit
TRX-20240405-003,2024-04-05,08:57,CUST-1083,"croissant, es krim",2,38000,Tunai
TRX-20240304-007,2024-03-04,11:44,CUST-1089,"susu, roti tawar, garam, telur, pisang",5,65000,Tunai
TRX-20240117-004,2024-01-17,08:19,CUST-1075,"keripik, soda, tomat, es krim, cokelat",5,60000,Kredit
TRX-20240328-003,2024-03-28,15:22,CUST-1193,"apel, soda, croissant, anggur, biskuit, jeruk, kopi, cokelat",8,149000,Tunai
TRX-20240203-003,2024-02-03,11:46,CUST-1006,"susu, kopi, ikan, gula",4,95000,QRIS
TRX-20240110-006,2024-01-10,14:56,CUST-1164,"keripik, kecap, cokelat, soda",4,44000,Kredit
TRX-20240618-010,2024-06-18,09:41,CUST-1006,"kecap, tahu, tempe, susu, minyak goreng, roti tawar, keju, telur",8,127000,Debit
TRX-20240501-004,2024-05-01,19:09,CUST-1053,"kacang, wortel",2,16000,QRIS
TRX-20240618-011,2024-06-18,16:17,CUST-1160,"mentega, susu, kopi, gula, pisang",5,95000,QRIS
TRX-20240131-002,2024-01-31,12:07,CUST-1028,"keripik, nugget, saos, sosis",4,68000,QRIS
TRX-20240221-004,2024-02-21,13:45,CUST-1105,"air mineral, mentega, susu, roti tawar, sabun",5,67000,Kredit
TRX-20240325-005,2024-03-25,11:00,CUST-1004,"gula, sosis",2,36000,Debit
TRX-20240124-003,2024-01-24,20:32,CUST-1020,"keripik, nugget",2,36000,Tunai
TRX-20240316-003,2024-03-16,12:29,CUST-1013,"susu, permen, kopi, gula, keju, roti gandum",6,113000,Tunai
TRX-20240622-005,2024-06-22,13:27,CUST-1190,"apel, susu, anggur, roti tawar, jeruk, keju, roti gandum",7,133000,QRIS
